restaurant_key,restaurant google map url,address,coordinates
33 Taps USA,https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1240 S Figueroa St, Los Angeles, CA 90015, USA","34.0410951,-118.2670827"
Bigfoot West USA,https://maps.google.com/?cid=11465172617815465054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"10939 Venice Blvd., Los Angeles, CA 90034, USA","34.0155795,-118.413184"
Maple Block Meat Co. USA,https://maps.google.com/?cid=1606745421131897708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3973 Sepulveda Blvd, Culver City, CA 90230, USA","34.0092418,-118.4146691"
Nickel Mine USA,https://maps.google.com/?cid=14167202315900867170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"11363 Santa Monica Blvd, Los Angeles, CA 90025, USA","34.0460468,-118.4507368"
Oldfield's Liquor Room USA,https://maps.google.com/?cid=10689908391870387112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"10899 Venice Blvd. W, Los Angeles, CA 90034, USA","34.0163134,-118.4118608"
Q's Billiards USA,https://maps.google.com/?cid=6049200821890325220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"11835 Wilshire Blvd, Los Angeles, CA 90025, USA","34.0477046,-118.4634104"
33 Taps USA,https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1240 S Figueroa St, Los Angeles, CA 90015, USA","34.0410951,-118.2670827"
Cabo Cantina USA,https://maps.google.com/?cid=13584409091586557794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6669 Hollywood Blvd, Los Angeles, CA 90028, USA","34.1018302,-118.3356221"
The Craftsman USA,https://maps.google.com/?cid=3722480886316133396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"208 W 8th St, Los Angeles, CA 90014, USA","34.0431536,-118.2540114"
Duke's Malibu USA,https://maps.google.com/?cid=1513497510111564432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"21150 Pacific Coast Hwy, Malibu, CA 90265, USA","34.0364078,-118.6359695"
